model,family,BLEU,ROUGE-L,Distinct-1,Distinct-2,빈응답비율,연속반복률,평균길이
baseline-114ep (04),베이스라인,4.87,22.99,0.128,0.303,0.0,0.014,5.18
A2 random lr3e-4 (06),베이스라인,4.87,22.78,0.11,0.239,0.0,0.003,5.18
KoBART lr5e-5 (04),전이학습,3.83,17.54,0.141,0.355,0.0,0.005,12.32
KoBART B2 lr5e-5+warmup (06),전이학습,3.38,17.3,0.143,0.352,0.0,0.02,12.31
KoBART B1 lr2e-5 (06),전이학습,3.26,17.38,0.153,0.395,0.0,0.032,12.23
A1 word2vec lr1e-4 (06),베이스라인,2.81,22.24,0.088,0.226,0.0,0.019,5.18
baseline-30ep (03),베이스라인,2.64,22.43,0.027,0.07,0.0,0.083,4.54
A0 random lr1e-4 (06),베이스라인,2.21,21.04,0.048,0.1,0.0,0.008,5.18
KE-T5 lr5e-5+warmup (06),전이학습,0.09,19.47,0.002,0.003,0.0,0.0,4.0
