model,decoding,BLEU,ROUGE-L,Distinct-1,Distinct-2,빈응답비율,연속반복률,평균길이
baseline-114ep (04),greedy,3.05,20.61,0.148,0.425,0.0,0.121,6.65
baseline-114ep (04),beam5,4.87,22.99,0.128,0.303,0.0,0.014,5.18
baseline-114ep (04),top-k50/top-p0.9,3.06,20.01,0.186,0.563,0.0,0.106,6.7
KoBART lr5e-5 (04),greedy,3.16,16.59,0.133,0.363,0.0,0.009,13.35
KoBART lr5e-5 (04),beam5,3.66,16.71,0.127,0.313,0.0,0.006,12.53
KoBART lr5e-5 (04),beam5+no_repeat_ngram3,3.83,17.54,0.141,0.355,0.0,0.005,12.32
KoBART lr5e-5 (04),top-k50/top-p0.9,2.83,16.15,0.151,0.434,0.0,0.016,13.27
