model,decoding,BLEU,ROUGE-L,Distinct-1,Distinct-2,빈응답비율,연속반복률,평균길이
baseline-114ep (04),greedy,3.05,20.61,0.148,0.425,0.0,0.121,6.65
baseline-114ep (04),beam5,4.87,22.99,0.128,0.303,0.0,0.014,5.18
baseline-114ep (04),top-k50/top-p0.9,3.06,20.01,0.186,0.563,0.0,0.106,6.7
KoBART lr5e-5 (04),greedy,5.91,24.98,0.225,0.558,0.0,0.026,5.85
KoBART lr5e-5 (04),beam5,7.71,24.68,0.206,0.481,0.0,0.024,6.33
KoBART lr5e-5 (04),beam5+no_repeat_ngram3,7.72,24.9,0.208,0.486,0.0,0.024,6.28
KoBART lr5e-5 (04),top-k50/top-p0.9,5.01,23.47,0.239,0.608,0.0,0.026,6.04
